,code,mean_profit,win_rate,sharpe_ratio,trade_times,odds,exp_return,sector
95,ZAG,-4.519239143796770,0.25,-0.4672352775261780,4,1.0868833904178900,0.3622461639840970,
29,METV,-1.281445944142940,0.25,-0.19043802514052300,12,1.6651386621677500,0.5549722244259950,
69,EZA,-0.5489239452569360,0.31343283582089600,-0.10170362547957600,67,1.6076090878461300,0.7338016168246970,
68,EIDO,-0.42708837493191800,0.2753623188405800,-0.0805457577399256,69,2.074638947787650,0.7882540211043940,
62,EWP,-0.353622332658489,0.2857142857142860,-0.06539281481966890,70,2.0183068050852200,0.8072097126743130,
77,FXI,-0.33218667263255400,0.3287671232876710,-0.06263156599901170,73,1.7114657539275900,0.8381440743371320,
67,EWS,-0.25231528551540100,0.30985915492957700,-0.07176405116779620,71,1.8515901741685900,0.8312057606287470,
73,EWW,-0.2215027552543800,0.32,-0.04255889056974320,75,1.8816655739102700,0.8853594819163150,
70,EWM,-0.2191267926403300,0.3333333333333330,-0.06355496193982480,63,1.6178548194099400,0.808806088791652,
131,IBB,-0.17976033428538800,0.30985915492957700,-0.03684065291225510,71,2.0108169034005900,0.9026849553393870,
136,XPH,-0.14120578807066900,0.34375,-0.0264910187596025,64,1.7717744072665400,0.9279309095724420,
59,EWU,-0.020531374209544200,0.38333333333333300,-0.005357807138264320,60,1.5850361573745400,0.98513299517955,
100,IEF,0.002475790995500190,0.25333333333333300,0.0014566219769673800,75,2.9615575356342200,1.0046796085711800,
98,TIP,0.005373119429210950,0.33766233766233800,0.004521303395767510,77,1.9865654008145600,1.012605948144670,
61,EWI,0.050546080831567700,0.3787878787878790,0.009564165543296410,66,1.6846215138620500,1.0270429113008900,
101,IEI,0.07745051295935630,0.3287671232876710,0.07189023636950870,73,2.65976030575762,1.3025456888704900,
91,AGG,0.07750921610479840,0.352112676056338,0.06491384420100580,71,2.2788375364589000,1.2383075310435200,
103,GOVT,0.0788939844332875,0.3013698630136990,0.05986548286541130,73,2.8150994009911100,1.214182809554800,
93,IUSB,0.08843135388764170,0.3283582089552240,0.06572875255717610,67,2.5447008423033300,1.24389076583427,
92,AGZ,0.08902642111867850,0.32432432432432400,0.10718606607789100,74,3.061443761401110,1.4692755526907400,
84,MBB,0.09132403501906140,0.3787878787878790,0.07896289832671310,66,2.171943593298650,1.3241426948946300,
129,KIE,0.11860605401105700,0.4090909090909090,0.033762389287448200,66,1.5756900758864800,1.0906777839887400,
72,VNM,0.12247399114380800,0.328125,0.027188802365257800,64,2.209669589751780,1.0789803700097500,
105,GVI,0.13705102204550600,0.417910447761194,0.16197091214820100,67,2.4632108726289900,1.7681553280234400,Government Bonds
102,SHY,0.13717975470766900,0.3442622950819670,0.18953548127922500,61,6.147428597273300,3.226907910112190,Treasury Bonds
104,BSV,0.142361323987341,0.421875,0.19638423749328500,64,3.0061246478510400,2.1932791487952900,Government Bonds
94,BND,0.1616355797189460,0.391304347826087,0.13541831056947900,69,2.4370265106208100,1.5664025621210300,FIXED-INCOME
106,BIV,0.17713854372261700,0.35294117647058800,0.12518582717071400,68,2.7538866378759900,1.5018878743517800,Government Bonds
97,VTIP,0.17853486561866900,0.3728813559322030,0.23977846864193200,59,3.592609018950470,2.135805328796500,FIXED-INCOME
110,SLV,0.21572894654175900,0.27941176470588200,0.027359777559970300,68,2.8396744934333100,1.1009454886920400,Silver
65,EEM,0.24201184875445800,0.3235294117647060,0.048543002570645800,68,2.4593110476331300,1.176018393975000,Emerging Market
64,EWJ,0.2517821744627020,0.31343283582089600,0.06417726870519390,67,2.651242465639610,1.2101735568608900,Japan
141,JETS,0.27531098474794200,0.3220338983050850,0.039705488568385900,59,2.3538701171654300,1.1179234119503200,Industrials
86,PFF,0.287887998325066,0.4074074074074070,0.143906028891674,54,2.1807515235408600,1.499013713870130,High Dividends
60,EWG,0.3125839264485810,0.35294117647058800,0.07272048997053260,68,2.2660990715974400,1.2358630420375600,Germany
66,EWY,0.3379360949849600,0.30434782608695700,0.05857173778353490,69,2.7792142436383700,1.215731470192950,South Korea
107,LQD,0.34309886631649800,0.3333333333333330,0.14783507375579800,66,3.3631912982349600,1.681343447600340,Corporation Bonds
137,MJ,0.35676291120176600,0.2826086956521740,0.03790513519789550,46,2.847943594022900,1.121760806745050,Healthcare
108,HYG,0.36195869036296300,0.36666666666666700,0.18442249403033300,60,3.1481568694384500,1.8223293987172000,Corporation Bonds
143,GDX,0.395035189719763,0.3382352941176470,0.0492046778101179,68,2.2479667483249400,1.1487871879687900,Gold
134,IHF,0.39524869751264500,0.3787878787878790,0.09298833289247810,66,2.129993493327620,1.2985674826293900,Materials
15,RSPD,0.39834992320581600,0.32432432432432400,0.09252413025263630,74,2.7272327627231200,1.3088780121613000,Consumer Discretionary
99,TLT,0.42241924692139400,0.4,0.13904983483708600,60,2.2390976126790600,1.4924829946202700,Treasury Bonds
88,SDY,0.42575228153529100,0.39436619718309900,0.1323515747365360,71,2.263126356183670,1.4734203881020300,High Dividends
53,SDIV,0.46021781236279700,0.32786885245901600,0.09564743870009180,61,2.9207480499077700,1.4245432020639700,Global Markets
166,XLU,0.4844971080653700,0.3787878787878790,0.11958278348339800,66,2.2586918808454900,1.3770294786970200,Utilities
146,IYM,0.48926926650172200,0.41935483870967700,0.10528444122948900,62,1.8765968839068600,1.355086595685700,Materials
109,JNK,0.4899421016233670,0.41379310344827600,0.2265710688368480,58,2.9891823579793900,2.1096511945463800,Corporation Bonds
83,RWR,0.4941481262653330,0.328125,0.10850808473040900,64,2.8329784230986200,1.3833417092588800,Real Estate
24,RSPU,0.5038038206420110,0.46774193548387100,0.14598130962295700,62,1.6286795454780400,1.4309949893917800,Utilities
52,ACWX,0.5110468244498050,0.45901639344262300,0.14067802807519500,61,1.7558358017550000,1.4895247378254400,Global Markets
57,EFA,0.5366481155627920,0.45,0.13854500115278700,60,1.8364097523019600,1.5022439348043700,"Europe, Australia and Far East"
130,XLV,0.5385907124260160,0.4126984126984130,0.14371977235854800,63,2.1135523037241600,1.4849460739611400,Healthcare
16,RSPS,0.5453739954278510,0.4,0.18924981648841700,65,2.4493503021367800,1.632628096741730,Consumer staple
162,HACK,0.5538335630758700,0.3898305084745760,0.09707134056768300,59,2.1315298798380600,1.3615876074830900,Growth
28,IWO,0.5545478670378980,0.3939393939393940,0.09103569619544680,66,2.0891598455285900,1.3577298741643400,Growth
80,REET,0.5582111322333650,0.43548387096774200,0.16423519290986900,124,2.1075724637388500,1.6255536596645400,Real Estate
152,REET,0.5582111322333650,0.43548387096774200,0.16423519290986900,124,2.1075724637388500,1.6255536596645400,Real Estate
